study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_unit	comments
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	131.724137931034	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	9.84466019417475	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	133.103448275862	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.77669902912621	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	137.241379310344	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	8.09708737864077	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	139.310344827586	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.88349514563106	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	140.344827586206	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.06796116504854	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	142.068965517241	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	10.4854368932038	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	144.137931034482	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	9.26213592233009	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	152.413793103448	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	6.29126213592233	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	165.172413793103	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	6.46601941747572	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	178.965517241379	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	6.40776699029126	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	88.2568807339449	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.276923076923077	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	93.394495412844	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.871794871794872	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	96.697247706422	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.328205128205127	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	97.0642201834862	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.369230769230769	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	97.4311926605504	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.461538461538461	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	99.2660550458715	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.461538461538461	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	101.100917431192	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.451282051282052	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_clearence_renal	102.201834862385	ml/min	clearance_renal	apixaban	plasma	HPLC MS/MS	clearence_renal_vs_clearence_cr	0.379487179487179	l/hr	NA
